Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
7.02818	57	1	5	LastDelay	0.0140446	14044.6	1	2
7.02818	57	1	5	FullDelay	3.41404	3.41404e+06	2	2
7.0588	69	1	15	LastDelay	0.0700161	70016.1	1	12
7.0588	69	1	15	FullDelay	0.0700161	70016.1	1	12
7.0738	65	1	18	LastDelay	0	0	1	4
7.0738	65	1	18	FullDelay	0	0	1	4
7.08806	61	1	19	LastDelay	0.182616	182616	1	5
7.08806	61	1	19	FullDelay	0.182616	182616	1	5
7.14884	53	1	24	LastDelay	0.0639022	63902.2	1	4
7.14884	53	1	24	FullDelay	0.0639022	63902.2	1	4
7.20579	49	1	18	LastDelay	0.0769092	76909.2	1	11
7.20579	49	1	18	FullDelay	0.0769092	76909.2	1	11
7.2259	57	1	6	LastDelay	0.0117609	11760.9	1	2
7.2259	57	1	6	FullDelay	3.41176	3.41176e+06	2	2
7.26326	61	1	20	LastDelay	0.157819	157819	1	12
7.26326	61	1	20	FullDelay	0.157819	157819	1	12
7.2738	65	1	19	LastDelay	0	0	1	6
7.2738	65	1	19	FullDelay	0	0	1	6
7.28805	69	1	16	LastDelay	0.0992686	99268.6	1	11
7.28805	69	1	16	FullDelay	0.0992686	99268.6	1	11
7.32888	49	1	19	LastDelay	0	0	1	8
7.32888	49	1	19	FullDelay	0	0	1	8
7.33783	53	1	25	LastDelay	0.0528885	52888.5	1	4
7.33783	53	1	25	FullDelay	0.0528885	52888.5	1	4
7.41769	57	1	7	LastDelay	0.00355444	3554.44	1	2
7.41769	57	1	7	FullDelay	3.00355	3.00355e+06	2	2
7.43938	61	1	21	LastDelay	0.133939	133939	1	4
7.43938	61	1	21	FullDelay	0.133939	133939	1	4
7.44123	45	1	29	LastDelay	0.0364503	36450.3	1	4
7.44123	45	1	29	FullDelay	0.0364503	36450.3	1	4
7.52888	49	1	20	LastDelay	0	0	1	7
7.52888	49	1	20	FullDelay	0	0	1	7
7.55385	53	1	20	LastDelay	1.66891	1.66891e+06	1	4
7.55385	53	1	20	FullDelay	1.66891	1.66891e+06	1	4
7.55638	65	1	20	LastDelay	0.0825873	82587.3	1	4
7.55638	65	1	20	FullDelay	0.0825873	82587.3	1	4
7.61769	57	1	8	LastDelay	0.00355442	3554.42	1	2
7.61769	57	1	8	FullDelay	3.00355	3.00355e+06	2	2
7.64251	45	1	30	LastDelay	0.0377357	37735.7	1	3
7.64251	45	1	30	FullDelay	0.0377357	37735.7	1	3
7.66219	61	1	22	LastDelay	0.156744	156744	1	8
7.66219	61	1	22	FullDelay	0.156744	156744	1	8
7.67145	69	1	18	LastDelay	0.0826734	82673.4	1	13
7.67145	69	1	18	FullDelay	0.0826734	82673.4	1	13
7.6738	65	1	21	LastDelay	0	0	1	6
7.6738	65	1	21	FullDelay	0	0	1	6
7.72433	53	1	27	LastDelay	0.0393921	39392.1	1	5
7.72433	53	1	27	FullDelay	0.0393921	39392.1	1	5
7.77842	49	1	21	LastDelay	0.0495368	49536.8	1	8
7.77842	49	1	21	FullDelay	0.0495368	49536.8	1	8
7.78142	61	1	23	LastDelay	0.0759786	75978.6	1	4
7.78142	61	1	23	FullDelay	0.0759786	75978.6	1	4
7.83373	57	1	9	LastDelay	0.019591	19591	1	2
7.83373	57	1	9	FullDelay	3.01959	3.01959e+06	2	2
7.86162	69	1	19	LastDelay	0.0728387	72838.7	1	11
7.86162	69	1	19	FullDelay	0.0728387	72838.7	1	11
7.8738	65	1	22	LastDelay	0	0	1	3
7.8738	65	1	22	FullDelay	0	0	1	3
7.92237	53	1	28	LastDelay	0.0374349	37434.9	1	4
7.92237	53	1	28	FullDelay	0.0374349	37434.9	1	4
7.92888	49	1	22	LastDelay	0	0	1	8
7.92888	49	1	22	FullDelay	0	0	1	8
8.03342	69	1	20	LastDelay	0.0446351	44635.1	1	3
8.03342	69	1	20	FullDelay	0.0446351	44635.1	1	3
8.05016	57	1	10	LastDelay	0.0360284	36028.4	1	2
8.05016	57	1	10	FullDelay	3.03603	3.03603e+06	2	2
8.10899	61	1	14	LastDelay	0.00354114	3541.14	1	4
8.10899	61	1	14	FullDelay	2.60354	2.60354e+06	2	4
8.12355	53	1	29	LastDelay	0.038609	38609	1	4
8.12355	53	1	29	FullDelay	0.038609	38609	1	4
8.19198	53	1	7	LastDelay	1.90705	1.90705e+06	1	4
8.19198	53	1	7	FullDelay	4.90705	4.90705e+06	2	4
8.19209	65	1	7	LastDelay	0.11829	118290	1	4
8.19209	65	1	7	FullDelay	3.91829	3.91829e+06	3	4
8.20193	49	1	14	LastDelay	0.0730443	73044.3	1	8
8.20193	49	1	14	FullDelay	2.27304	2.27304e+06	2	8
